# ----------------------------------------
# Pages et écrans: Chemin de la page et classe de l'écran
# Compte : Oikos
# Propriété : Oikos US GA4
# ----------------------------------------
# 
# Tous les utilisateurs
# Date de début : 20260101
# Date de fin : 20260331
Chemin de la page et classe de l'écran,Vues,Utilisateurs actifs,Vues par utilisateur actif,Durée d'engagement moyenne par utilisateur actif,Nombre d'événements,Événements clés,Revenu total
/greek-yogurt-recipes/desserts/recipe/spice-cake,118,54,2.185185185185185,26.703703703703702,231,0,0
/greek-yogurt-recipes/breakfast/recipe/greek-yogurt-banana-cranberry-bread/,117,35,3.342857142857143,70.31428571428572,288,0,0
/greek-yogurt-recipes,112,53,2.1132075471698113,22.358490566037737,264,0,0
/greek-yogurt-recipes/desserts/recipe/classic-yogurt-bundt-cake,111,46,2.4130434782608696,25.717391304347824,190,0,0
/all-products/pro-yogurt-cultured-ultra-filtered-milk/product/mango-shot,109,47,2.3191489361702127,35.808510638297875,340,1,0
/nutrition-and-fitness-professionals-aem/,106,3,35.333333333333336,343.3333333333333,179,0,0
/content/edp/noram/oikos/us/en/stronger-makes-everything-better.html,105,9,11.666666666666666,476.3333333333333,276,0,0
/greek-yogurt-recipes/seasonal/recipe/spiced-apple-crumble,98,43,2.2790697674418605,50.44186046511628,208,0,0
/all-products/pro-yogurt-cultured-ultra-filtered-milk/product/strawberry-banana-drink,94,46,2.0434782608695654,8.108695652173912,263,1,0
/all-products/caramel-macchiato/,93,48,1.9375,3.9166666666666665,230,0,0
/greek-yogurt-recipes/desserts/recipe/whole-grain-greek-yogurt-pancakes/,93,41,2.268292682926829,17.585365853658537,208,0,0
/greek-yogurt-recipes/desserts/recipe/cookie-dough-bowl/,88,42,2.0952380952380953,5.261904761904762,180,0,0
/greek-yogurt-recipes/savory/recipe/carrot-ginger-soup,88,30,2.933333333333333,61.266666666666666,183,0,0
/greek-yogurt-recipes/breakfast/recipe/chocolate-yogurt-banana-bread/,85,25,3.4,22.36,173,0,0
/all-products/oikos-pro/,82,52,1.5769230769230769,0.7115384615384616,199,0,0
/greek-yogurt-recipes/desserts/recipe/raspberry-yogurt-chocolate-roll,82,32,2.5625,64.28125,170,0,0
/greek-yogurt-recipes/savory/recipe/creamy-mashed-potatoes,78,33,2.3636363636363638,25.848484848484848,144,0,0
/greek-yogurt-recipes/dips-and-dressings/recipe/pretzels-bites-and-spicy-queso/,74,34,2.176470588235294,11.764705882352942,148,0,0
/greek-yogurt-recipes/breakfast/,73,37,1.972972972972973,5.891891891891892,116,0,0
/greek-yogurts/,72,38,1.894736842105263,0.3684210526315789,160,0,0
/all-products/pro-yogurt-cultured-ultra-filtered-milk/product/key-lime,71,36,1.9722222222222223,53.833333333333336,222,0,0
/social/6762dbe526ddc20f11d954fc,71,63,1.126984126984127,2.5238095238095237,322,0,0
/all-products/pro-yogurt-cultured-ultra-filtered-milk/product/mixed-berry,68,35,1.9428571428571428,12.142857142857142,205,0,0
/greek-yogurt-recipes/savory/recipe/chickpea-and-cauliflower-curry,68,33,2.0606060606060606,29,125,0,0
/all-products/pro-yogurt-cultured-ultra-filtered-milk/product/strawberry,67,35,1.9142857142857144,14.82857142857143,178,0,0
/greek-yogurt-recipes/savory/recipe/chicken-gyros-rolls-and-homemade-tzatziki-with-greek-yogurt/,65,25,2.6,21.8,153,0,0
/greek-yogurt-recipes/savory/recipe/dijon-salmon-cakes-and-arugula-with-lemon-caper-oil,64,31,2.064516129032258,43.70967741935484,120,0,0
/all-products/pro-yogurt-cultured-ultra-filtered-milk/product/vanilla-multipack,63,26,2.423076923076923,18.923076923076923,173,0,0
/greek-yogurt-recipes/dips-and-dressings/recipe/creamy-avocado-dip,63,26,2.423076923076923,29.46153846153846,122,0,0
/greek-yogurt-recipes/breakfast/recipe/oikos-parfait/,62,35,1.7714285714285714,5.571428571428571,134,0,0
